split_mode,action_source,method,channels_count,selected_channels,feature_set,window_ms,filtering,macro_f1,accuracy,processing_time_ms,feature_vector_size,profile,alpha,beta,gamma,reward
medium,channel_sweep,random,16,"[1, 3, 6, 7, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22]",basic,200.0,False,0.931737527612166,0.9311487481590576,0.1751916668884708,64,balanced,0.03,0.002,0.0004,0.8688817776055119
medium,channel_sweep,random,12,"[1, 2, 5, 8, 10, 15, 17, 19, 20, 21, 22, 23]",basic,200.0,False,0.9102108038952402,0.9095790378006872,0.1520416664485916,48,balanced,0.03,0.002,0.0004,0.8624495539017825
medium,channel_sweep,random,16,"[1, 3, 5, 6, 7, 8, 9, 11, 12, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9215055134204032,0.9207167403043692,0.1716291665919319,64,balanced,0.03,0.002,0.0004,0.8587566384226453
medium,channel_sweep,greedy,16,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0, 20, 3, 15, 17]",basic,200.0,False,0.9183647472176206,0.9178325969563084,0.1666625001538098,64,balanced,0.03,0.002,0.0004,0.8557648722130063
medium,channel_sweep,random,16,"[0, 1, 3, 4, 5, 6, 8, 9, 10, 12, 13, 15, 17, 19, 21, 22]",basic,200.0,False,0.9161358356788412,0.9158382425135002,0.1671374999811329,64,balanced,0.03,0.002,0.0004,0.8535217106794072
medium,channel_sweep,random,12,"[1, 4, 5, 6, 8, 9, 10, 11, 14, 16, 22, 23]",basic,200.0,False,0.89045357690625,0.8905866470299459,0.1471458332768331,48,balanced,0.03,0.002,0.0004,0.842839201907945
medium,channel_sweep,ranking,24,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3, 4, 10, 2, 12, 19, 18, 23, 17, 22, 16, 20, 21]",basic,200.0,False,0.9345215635815728,0.9340942562592048,0.2056875003593935,96,balanced,0.03,0.002,0.0004,0.841950938570791
medium,channel_sweep,random,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9345215635815728,0.9340942562592048,0.2070666667653616,96,balanced,0.03,0.002,0.0004,0.8419095635786119
medium,channel_sweep,random,12,"[1, 3, 5, 7, 8, 9, 10, 13, 14, 16, 17, 23]",basic,200.0,False,0.885915153658624,0.885708149239077,0.1495666660957795,48,balanced,0.03,0.002,0.0004,0.8382281536757507
medium,feature_sweep,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9284057813212564,0.9277736867943054,0.2013449067221804,96,balanced,0.03,0.002,0.0004,0.8359654341195909
