row_type,seed,method,channels_count,selected_channels,train_participants,val_participants,selection_score_accuracy,selection_score_macro_f1,top_channel_frequency,seed_a,seed_b,jaccard
selection,0,ranking,3,"[13, 5, 15]","5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,4",0.7686548846342661,0.7701894123016843,1,,,
selection,0,ranking,6,"[13, 5, 15, 6, 7, 14]","5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,4",0.7498772704958272,0.7500878596628283,1,,,
selection,0,ranking,8,"[13, 5, 15, 6, 7, 14, 12, 0]","5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,4",0.8211217476681394,0.8253397221460244,1,,,
selection,0,ranking,12,"[13, 5, 15, 6, 7, 14, 12, 0, 11, 3, 4, 9]","5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,4",0.8685260186548847,0.8723004124617776,1,,,
selection,0,greedy,3,"[13, 9, 23]","5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,4",0.8506381934216986,0.852029918043345,1,,,
selection,0,greedy,6,"[13, 9, 23, 11, 5, 20]","5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,4",0.9008959253804615,0.9021003196134479,1,,,
selection,0,greedy,8,"[13, 9, 23, 11, 5, 20, 8, 15]","5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,4",0.9210542464408443,0.9220504969173002,1,,,
selection,0,greedy,12,"[13, 9, 23, 11, 5, 20, 8, 15, 16, 19, 21, 22]","5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,4",0.9326521845851743,0.9331626669669266,1,,,
selection,1,ranking,3,"[6, 15, 0]","1,2,3,4,9,10,11,12,13,14,15,16","5,6,7,8",0.7963303878252331,0.8003455413694197,1,,,
selection,1,ranking,6,"[6, 15, 0, 7, 9, 14]","1,2,3,4,9,10,11,12,13,14,15,16","5,6,7,8",0.8464653902798233,0.8504043617179441,1,,,
selection,1,ranking,8,"[6, 15, 0, 7, 9, 14, 8, 5]","1,2,3,4,9,10,11,12,13,14,15,16","5,6,7,8",0.8477847324496809,0.8510445223182244,1,,,
