split_mode,method,channels_count,selected_channels,window_ms,filtering,feature_set,accuracy,macro_f1,processing_time_ms,feature_vector_size,records_count,train_participants,test_participants,selection_train_participants,selection_val_participants,final_test_participants,selection_metric,final_metric,selection_score_accuracy,selection_score_macro_f1,selection_uses_test,quick_mode,medium_mode,random_repeat
medium,greedy,3,"[6, 8, 5]",200.0,False,basic,0.7412248404516446,0.7448272256807771,0.10580416680265141,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7943973981345115,0.7974590366441545,False,False,True,-1
medium,random,3,"[5, 8, 17]",200.0,False,basic,0.7300257731958762,0.7353377399620106,0.11303333379449516,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7150220913107511,0.721680748819533,False,False,True,0
medium,random,3,"[15, 19, 20]",200.0,False,basic,0.6564187530682376,0.6586307454733831,0.11214583355467767,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.5997790868924889,0.6054071309029195,False,False,True,1
medium,random,3,"[9, 14, 20]",200.0,False,basic,0.6396968581246931,0.6351627741308676,0.11186666688445257,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7117083946980854,0.7088416512100295,False,False,True,2
medium,ranking,3,"[6, 14, 7]",200.0,False,basic,0.6473674521354934,0.6472843383403633,0.10985416687011214,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.6782032400589102,0.6793817528251507,False,False,True,-1
medium,greedy,6,"[6, 8, 5, 16, 9, 23]",200.0,False,basic,0.8161205203730977,0.8164129330065751,0.12115416590556076,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8592599410898379,0.8595645752460562,False,False,True,-1
medium,random,6,"[1, 10, 19, 21, 22, 23]",200.0,False,basic,0.8013009327442318,0.8012976459198619,0.12453333253385306,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7491102110947472,0.7517919449132984,False,False,True,0
medium,random,6,"[2, 7, 12, 18, 21, 23]",200.0,False,basic,0.782860824742268,0.7864478149242229,0.12198333418685554,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7093151693667158,0.7128831183889645,False,False,True,1
medium,random,6,"[3, 13, 14, 15, 16, 18]",200.0,False,basic,0.8523564064801178,0.8525852519242008,0.1231041665050725,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7931701030927835,0.7940243533941844,False,False,True,2
medium,ranking,6,"[6, 14, 7, 15, 0, 5]",200.0,False,basic,0.8182069219440353,0.8162438020773441,0.11982916657871101,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7764482081492391,0.7760203919107993,False,False,True,-1
medium,greedy,8,"[6, 8, 5, 16, 9, 23, 22, 4]",200.0,False,basic,0.8524484536082474,0.8518549629141811,0.13076666679504947,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8861990672557682,0.886438568801074,False,False,True,-1
medium,random,8,"[5, 10, 11, 12, 14, 15, 16, 17]",200.0,False,basic,0.853154148257241,0.8534456802225203,0.13544166646776526,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8154455081001473,0.8156884768837356,False,False,True,0
medium,random,8,"[5, 7, 8, 9, 18, 19, 21, 22]",200.0,False,basic,0.8687101129111439,0.8696575411371718,0.13198333347948696,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8008406971035837,0.8033354367618268,False,False,True,1
medium,random,8,"[0, 6, 8, 9, 10, 12, 18, 22]",200.0,False,basic,0.8154761904761905,0.8166101610826475,0.1304666669360207,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7474533627884143,0.7550129386743077,False,False,True,2
medium,ranking,8,"[6, 14, 7, 15, 0, 5, 9, 8]",200.0,False,basic,0.8499324987727049,0.8489447471933713,0.13092916681974506,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7937530682376043,0.7904940384694931,False,False,True,-1
medium,greedy,12,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0]",200.0,False,basic,0.8574496809032891,0.8564124201399218,0.1478291665080178,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8847263132056946,0.8848533723178331,False,False,True,-1
medium,random,12,"[1, 4, 5, 6, 8, 9, 10, 11, 14, 16, 22, 23]",200.0,False,basic,0.8905866470299459,0.89045357690625,0.14793333320994861,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8777614138438881,0.8784634453042361,False,False,True,0
medium,random,12,"[1, 2, 5, 8, 10, 15, 17, 19, 20, 21, 22, 23]",200.0,False,basic,0.9095790378006873,0.9102108038952402,0.1499833324487554,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8556087383406971,0.8567880998510027,False,False,True,1
medium,random,12,"[1, 3, 5, 7, 8, 9, 10, 13, 14, 16, 17, 23]",200.0,False,basic,0.885708149239077,0.885915153658624,0.14716249976724308,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.854381443298969,0.8545864975804172,False,False,True,2
medium,ranking,12,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3]",200.0,False,basic,0.8733738340697104,0.8726615068257378,0.14763749944298374,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8405436917034855,0.8394281295799229,False,False,True,-1
medium,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",200.0,False,basic,0.9340942562592047,0.9345215635815729,0.20151666679642707,96,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8873036327933235,0.8883268680447229,False,False,True,-1
medium,random,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",200.0,False,basic,0.9340942562592047,0.9345215635815729,0.19958333359682,96,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8873036327933235,0.8883268680447229,False,False,True,0
medium,ranking,24,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3, 4, 10, 2, 12, 19, 18, 23, 17, 22, 16, 20, 21]",200.0,False,basic,0.9340942562592047,0.9345215635815729,0.198716667152136,96,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8873036327933235,0.8883268680447229,False,False,True,-1
medium,greedy,3,"[6, 0, 5]",200.0,True,basic,0.7611377025036818,0.7628860930538077,0.10434166642880882,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7935382916053019,0.7971662753252299,False,False,True,-1
medium,random,3,"[5, 8, 17]",200.0,True,basic,0.7331860579283259,0.7377319116510107,0.108408333138262,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7379111438389789,0.745339426085623,False,False,True,0
medium,random,3,"[15, 19, 20]",200.0,True,basic,0.6508038782523319,0.6514150237850314,0.10444999982913335,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.604534855179185,0.6087257311673407,False,False,True,1
medium,random,3,"[9, 14, 20]",200.0,True,basic,0.6297557682866961,0.6244518732132575,0.10272916673178163,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7151141384388807,0.7117940370134239,False,False,True,2
medium,ranking,3,"[6, 14, 7]",200.0,True,basic,0.6413843888070693,0.6413568245068523,0.10281666679172001,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.677712322042219,0.6796745493496741,False,False,True,-1
medium,greedy,6,"[6, 0, 5, 4, 23, 22]",200.0,True,basic,0.8417096219931272,0.8405387758648628,0.11625416649015581,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.87576705940108,0.8759154965035827,False,False,True,-1
medium,random,6,"[1, 10, 19, 21, 22, 23]",200.0,True,basic,0.8003497790868925,0.7999451905529023,0.11862083313947853,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.759634266077565,0.762318513894307,False,False,True,0
medium,random,6,"[2, 7, 12, 18, 21, 23]",200.0,True,basic,0.7831676485027,0.7868030356128843,0.11947083279058764,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7193789887088856,0.7226968695889407,False,False,True,1
medium,random,6,"[3, 13, 14, 15, 16, 18]",200.0,True,basic,0.8469869906725577,0.8473074837068599,0.11711666593328118,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7950724104074619,0.7961355479737363,False,False,True,2
medium,ranking,6,"[6, 14, 7, 15, 5, 0]",200.0,True,basic,0.810659057437408,0.8084503490331063,0.1179958332310586,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.772152675503191,0.7717263630720541,False,False,True,-1
medium,greedy,8,"[6, 0, 5, 4, 23, 22, 9, 13]",200.0,True,basic,0.851466617574865,0.8500530581755341,0.12604166659002658,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8811364752086401,0.8810796222710446,False,False,True,-1
medium,random,8,"[5, 10, 11, 12, 14, 15, 16, 17]",200.0,True,basic,0.8473244968090329,0.8478338717912851,0.12873749968396928,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.811119293078056,0.8116269631319589,False,False,True,0
medium,random,8,"[5, 7, 8, 9, 18, 19, 21, 22]",200.0,True,basic,0.8671146293568974,0.8680808566638051,0.12691666627991557,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.801024791359843,0.803860654189648,False,False,True,1
medium,random,8,"[0, 6, 8, 9, 10, 12, 18, 22]",200.0,True,basic,0.8097692685321551,0.8111423680028021,0.13167083307052962,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7436487481590575,0.7512291873107755,False,False,True,2
medium,ranking,8,"[6, 14, 7, 15, 5, 0, 9, 8]",200.0,True,basic,0.8468949435444281,0.8457247832864958,0.12671249927128278,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7891813942071674,0.7866972230246162,False,False,True,-1
medium,greedy,12,"[6, 0, 5, 4, 23, 22, 9, 13, 12, 8, 16, 1]",200.0,True,basic,0.8564985272459499,0.8554190501909806,0.14682083322744197,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8832228767795778,0.8834032426181927,False,False,True,-1
medium,random,12,"[1, 4, 5, 6, 8, 9, 10, 11, 14, 16, 22, 23]",200.0,True,basic,0.8870581737849779,0.8870556150946247,0.1457833335128574,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8766261659302896,0.8772369933749316,False,False,True,0
medium,random,12,"[1, 2, 5, 8, 10, 15, 17, 19, 20, 21, 22, 23]",200.0,True,basic,0.9056210112911144,0.9059976252351836,0.1444541661233719,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8592599410898379,0.8605384288965012,False,False,True,1
medium,random,12,"[1, 3, 5, 7, 8, 9, 10, 13, 14, 16, 17, 23]",200.0,True,basic,0.8856161021109474,0.8858930825765329,0.1458958334599932,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8517120765832106,0.852010139444112,False,False,True,2
medium,ranking,12,"[6, 14, 7, 15, 5, 0, 9, 8, 13, 1, 11, 3]",200.0,True,basic,0.8680964653902798,0.8674141168517506,0.14427499991143122,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8365856651939126,0.8358474331989437,False,False,True,-1
