split_mode,method,channels_count,selected_channels,window_ms,filtering,feature_set,accuracy,macro_f1,processing_time_ms,feature_vector_size,records_count,train_participants,test_participants,selection_train_participants,selection_val_participants,final_test_participants,selection_metric,final_metric,selection_score_accuracy,selection_score_macro_f1,selection_uses_test,quick_mode,medium_mode,random_repeat
full,greedy,3,"[8, 5, 1]",200.0,False,basic,0.7961156111929307,0.7986165478332053,0.11557916817158305,12,3612,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","33,34,35,36,37,38,39","40,41,42,43",macro_f1,macro_f1,0.850129742618697,0.8496838427885781,False,False,False,-1
full,ranking,3,"[8, 0, 13]",200.0,False,basic,0.8042157584683358,0.8061919023883415,0.11313333319170245,12,3612,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","33,34,35,36,37,38,39","40,41,42,43",macro_f1,macro_f1,0.8117855389578512,0.8119749101129923,False,False,False,-1
full,greedy,6,"[8, 5, 1, 6, 9, 17]",200.0,False,basic,0.8302957781050565,0.8311819213900441,0.1311833336027727,24,3612,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","33,34,35,36,37,38,39","40,41,42,43",macro_f1,macro_f1,0.8733606844799776,0.8738914142962716,False,False,False,-1
full,ranking,6,"[8, 0, 13, 5, 15, 14]",200.0,False,basic,0.8476313205694649,0.8476326260393554,0.13388749963875549,24,3612,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","33,34,35,36,37,38,39","40,41,42,43",macro_f1,macro_f1,0.843607546111228,0.8447120840615132,False,False,False,-1
full,greedy,8,"[8, 5, 1, 6, 9, 17, 15, 22]",200.0,False,basic,0.8646600392734414,0.8641401646585365,0.13665833345536763,32,3612,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","33,34,35,36,37,38,39","40,41,42,43",macro_f1,macro_f1,0.8864576758538467,0.8873921364204189,False,False,False,-1
full,ranking,8,"[8, 0, 13, 5, 15, 14, 7, 6]",200.0,False,basic,0.845360824742268,0.8447083473038576,0.14099999922715747,32,3612,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","33,34,35,36,37,38,39","40,41,42,43",macro_f1,macro_f1,0.8472718984501016,0.8488856853218771,False,False,False,-1
full,greedy,12,"[8, 5, 1, 6, 9, 17, 15, 22, 20, 18, 4, 3]",200.0,False,basic,0.9375920471281296,0.9379330383215787,0.14846250026797256,48,3612,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","33,34,35,36,37,38,39","40,41,42,43",macro_f1,macro_f1,0.9103723963812329,0.9104950105553706,False,False,False,-1
full,ranking,12,"[8, 0, 13, 5, 15, 14, 7, 6, 9, 1, 11, 3]",200.0,False,basic,0.8921514482081493,0.8922463500791717,0.15170416675876672,48,3612,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","33,34,35,36,37,38,39","40,41,42,43",macro_f1,macro_f1,0.8726593730275616,0.8738715369597212,False,False,False,-1
full,greedy,16,"[8, 5, 1, 6, 9, 17, 15, 22, 20, 18, 4, 3, 21, 2, 11, 10]",200.0,False,basic,0.944066028473245,0.9442889408810617,0.16550000024532588,64,3612,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","33,34,35,36,37,38,39","40,41,42,43",macro_f1,macro_f1,0.9167543305982186,0.9166999450947495,False,False,False,-1
full,ranking,16,"[8, 0, 13, 5, 15, 14, 7, 6, 9, 1, 11, 3, 10, 2, 19, 4]",200.0,False,basic,0.9071858124693176,0.9072915070442448,0.18300416801745692,64,3612,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","33,34,35,36,37,38,39","40,41,42,43",macro_f1,macro_f1,0.8731327582579423,0.8740563620334134,False,False,False,-1
