split_mode,method,channels_count,selected_channels,window_ms,filtering,feature_set,accuracy,macro_f1,processing_time_ms,feature_vector_size,records_count,train_participants,test_participants,selection_train_participants,selection_val_participants,final_test_participants,selection_metric,final_metric,selection_score_accuracy,selection_score_macro_f1,selection_uses_test,quick_mode,medium_mode,random_repeat
medium,greedy,3,"[6, 8, 5]",200.0,False,basic,0.7412248404516446,0.7448272256807771,0.11111250008373948,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7943973981345115,0.7974590366441545,False,False,True,-1
medium,random,3,"[5, 8, 17]",200.0,False,basic,0.7300257731958762,0.7353377399620106,0.11401666612679644,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7150220913107511,0.721680748819533,False,False,True,0
medium,random,3,"[15, 19, 20]",200.0,False,basic,0.6564187530682376,0.6586307454733831,0.11458333316719897,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.5997790868924889,0.6054071309029195,False,False,True,1
medium,random,3,"[9, 14, 20]",200.0,False,basic,0.6396968581246931,0.6351627741308676,0.11886666667730121,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7117083946980854,0.7088416512100295,False,False,True,2
medium,ranking,3,"[6, 14, 7]",200.0,False,basic,0.6473674521354934,0.6472843383403633,0.13444166628081197,12,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.6782032400589102,0.6793817528251507,False,False,True,-1
medium,greedy,4,"[6, 8, 5, 16]",200.0,False,basic,0.7471772214040255,0.7505822893911855,0.11677916609187378,16,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8192501227295041,0.821356728723514,False,False,True,-1
medium,random,4,"[2, 6, 18, 23]",200.0,False,basic,0.679860088365243,0.6825044329292269,0.16063333335599358,16,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.6837260677466863,0.6898381210275403,False,False,True,0
medium,random,4,"[7, 9, 18, 19]",200.0,False,basic,0.7382793323514973,0.7406551156157396,0.11478333271952579,16,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.6920716740304369,0.6972032836409212,False,False,True,1
medium,random,4,"[0, 7, 8, 15]",200.0,False,basic,0.7734106529209622,0.7684682972022595,0.12006666626499889,16,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.6796453117329406,0.6770862929360969,False,False,True,2
medium,ranking,4,"[6, 14, 7, 15]",200.0,False,basic,0.6700110456553755,0.6637448158094911,0.11417500005942809,16,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7050196367206677,0.6994127539478541,False,False,True,-1
medium,greedy,6,"[6, 8, 5, 16, 9, 23]",200.0,False,basic,0.8161205203730977,0.8164129330065751,0.12493749924639512,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8592599410898379,0.8595645752460562,False,False,True,-1
medium,random,6,"[1, 10, 19, 21, 22, 23]",200.0,False,basic,0.8013009327442318,0.8012976459198619,0.12324166724890044,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7491102110947472,0.7517919449132984,False,False,True,0
medium,random,6,"[2, 7, 12, 18, 21, 23]",200.0,False,basic,0.782860824742268,0.7864478149242229,0.12932500006475797,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7093151693667158,0.7128831183889645,False,False,True,1
medium,random,6,"[3, 13, 14, 15, 16, 18]",200.0,False,basic,0.8523564064801178,0.8525852519242008,0.13330416671427278,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7931701030927835,0.7940243533941844,False,False,True,2
medium,ranking,6,"[6, 14, 7, 15, 0, 5]",200.0,False,basic,0.8182069219440353,0.8162438020773441,0.14663333331554895,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7764482081492391,0.7760203919107993,False,False,True,-1
medium,greedy,8,"[6, 8, 5, 16, 9, 23, 22, 4]",200.0,False,basic,0.8524484536082474,0.8518549629141811,0.13069583307393864,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8861990672557682,0.886438568801074,False,False,True,-1
medium,random,8,"[5, 10, 11, 12, 14, 15, 16, 17]",200.0,False,basic,0.853154148257241,0.8534456802225203,0.13936666634132658,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8154455081001473,0.8156884768837356,False,False,True,0
medium,random,8,"[5, 7, 8, 9, 18, 19, 21, 22]",200.0,False,basic,0.8687101129111439,0.8696575411371718,0.18253333337270305,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8008406971035837,0.8033354367618268,False,False,True,1
medium,random,8,"[0, 6, 8, 9, 10, 12, 18, 22]",200.0,False,basic,0.8154761904761905,0.8166101610826475,0.13540833333536284,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7474533627884143,0.7550129386743077,False,False,True,2
medium,ranking,8,"[6, 14, 7, 15, 0, 5, 9, 8]",200.0,False,basic,0.8499324987727049,0.8489447471933713,0.13260416638634828,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7937530682376043,0.7904940384694931,False,False,True,-1
