split_mode,method,channels_count,selected_channels,window_ms,filtering,feature_set,accuracy,macro_f1,processing_time_ms,feature_vector_size,records_count,train_participants,test_participants,selection_train_participants,selection_val_participants,final_test_participants,selection_metric,final_metric,selection_score_accuracy,selection_score_macro_f1,selection_uses_test,quick_mode,medium_mode,random_repeat
quick,greedy,3,"[14, 21, 11]",200.0,False,basic,0.8350515463917526,0.8360393136880552,0.14162083274034862,12,48,"1,2,3,4","42,43","1,2","3,4","42,43",macro_f1,macro_f1,0.6617268041237113,0.6632079422154412,False,True,False,-1
quick,random,3,"[5, 8, 17]",200.0,False,basic,0.6140463917525774,0.6025701423378104,0.17670833434143182,12,48,"1,2,3,4","42,43","1,2","3,4","42,43",macro_f1,macro_f1,0.7983247422680413,0.8028773648207781,False,True,False,0
quick,random,3,"[15, 19, 20]",200.0,False,basic,0.6037371134020618,0.5961276411733671,0.20612083365752673,12,48,"1,2,3,4","42,43","1,2","3,4","42,43",macro_f1,macro_f1,0.5109536082474226,0.531847697453323,False,True,False,1
quick,random,3,"[9, 14, 20]",200.0,False,basic,0.759020618556701,0.759079751978569,0.21501666651602136,12,48,"1,2,3,4","42,43","1,2","3,4","42,43",macro_f1,macro_f1,0.5682989690721649,0.5685019071491823,False,True,False,2
quick,ranking,3,"[14, 13, 7]",200.0,False,basic,0.6101804123711341,0.5793687845596132,0.13307499981844254,12,48,"1,2,3,4","42,43","1,2","3,4","42,43",macro_f1,macro_f1,0.5032216494845361,0.4705286876878337,False,True,False,-1
quick,greedy,4,"[14, 21, 11, 15]",200.0,False,basic,0.8814432989690721,0.8850080424782187,0.17411666764625502,16,48,"1,2,3,4","42,43","1,2","3,4","42,43",macro_f1,macro_f1,0.696520618556701,0.694695168310725,False,True,False,-1
quick,random,4,"[2, 6, 18, 23]",200.0,False,basic,0.6643041237113402,0.6579218388786656,0.13386666523729218,16,48,"1,2,3,4","42,43","1,2","3,4","42,43",macro_f1,macro_f1,0.6288659793814433,0.6338563923052051,False,True,False,0
quick,random,4,"[7, 9, 18, 19]",200.0,False,basic,0.7094072164948454,0.7072969334118204,0.1583666662554606,16,48,"1,2,3,4","42,43","1,2","3,4","42,43",macro_f1,macro_f1,0.6275773195876289,0.6239440749913405,False,True,False,1
quick,random,4,"[0, 7, 8, 15]",200.0,False,basic,0.6192010309278351,0.6050526609338993,0.15882499974395614,16,48,"1,2,3,4","42,43","1,2","3,4","42,43",macro_f1,macro_f1,0.6320876288659794,0.6376510807289111,False,True,False,2
quick,ranking,4,"[14, 13, 7, 5]",200.0,False,basic,0.6398195876288659,0.6170727999852492,0.18459583316143835,16,48,"1,2,3,4","42,43","1,2","3,4","42,43",macro_f1,macro_f1,0.6134020618556701,0.6190006202567881,False,True,False,-1
quick,greedy,6,"[14, 21, 11, 15, 4, 7]",200.0,False,basic,0.8788659793814433,0.881929405254267,0.13113333382837786,24,48,"1,2,3,4","42,43","1,2","3,4","42,43",macro_f1,macro_f1,0.7751288659793815,0.7788133930954136,False,True,False,-1
