filtered,win_ms,hop_ms,n_train_windows,n_test_windows,n_features,algorithmic_delay_ms,feature_set,feat_time_mean_ms,feat_time_p95_ms,preprocess_record_mean_ms,preprocess_record_p95_ms,status,accuracy,macro_f1,split_mode,channel_method,channels_count,selected_channels,feature_vector_size,processing_time_ms,records_count,train_participants,test_participants,selection_train_participants,selection_val_participants,final_test_participants,selection_metric,final_metric,selection_uses_test,quick_mode,medium_mode
False,200.0,50.0,130368,32592,12,200.0,basic,0.8902573176977556,3.5849299914843824,,,ok,0.6473674521354934,0.6472843383403633,medium,ranking,3,"[6, 14, 7]",12,0.8902573176977556,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,33,200.0,extended_td,0.16875870462898304,0.25104499873123104,,,ok,0.689954590083456,0.6932011671745955,medium,ranking,3,"[6, 14, 7]",33,0.16875870462898304,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,24,200.0,basic,0.17424506934877637,0.24009999469853938,,,ok,0.8182069219440353,0.8162438020773441,medium,ranking,6,"[6, 14, 7, 15, 0, 5]",24,0.17424506934877637,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,66,200.0,extended_td,0.1219624325252006,0.17880000814329833,,,ok,0.8432437407952872,0.8424737152360587,medium,ranking,6,"[6, 14, 7, 15, 0, 5]",66,0.1219624325252006,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,32,200.0,basic,0.12778030501606763,0.18589999599498697,,,ok,0.8499324987727049,0.8489447471933713,medium,ranking,8,"[6, 14, 7, 15, 0, 5, 9, 8]",32,0.12778030501606763,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,88,200.0,extended_td,0.13110768904157077,0.21274499813443953,,,ok,0.883560382916053,0.8833463493140896,medium,ranking,8,"[6, 14, 7, 15, 0, 5, 9, 8]",88,0.13110768904157077,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,48,200.0,basic,0.15235953000626884,0.2222999966761563,,,ok,0.8733738340697104,0.8726615068257378,medium,ranking,12,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3]",48,0.15235953000626884,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,132,200.0,extended_td,0.15759905494799226,0.2511449994926804,,,ok,0.9180473735886107,0.9178018126502034,medium,ranking,12,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3]",132,0.15759905494799226,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,96,200.0,basic,0.2221532217048399,0.34824499671230996,,,ok,0.9277736867943054,0.9284057813212564,medium,full,24,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3, 4, 10, 2, 12, 19, 18, 23, 17, 22, 16, 20, 21]",96,0.2221532217048399,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,264,200.0,extended_td,0.2316405099461281,0.3616449968831145,,,ok,0.9574435444280806,0.9575278848502513,medium,full,24,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3, 4, 10, 2, 12, 19, 18, 23, 17, 22, 16, 20, 21]",264,0.2316405099461281,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
