filtered,win_ms,hop_ms,n_train_windows,n_test_windows,n_features,algorithmic_delay_ms,feature_set,feat_time_mean_ms,feat_time_p95_ms,preprocess_record_mean_ms,preprocess_record_p95_ms,status,accuracy,macro_f1,split_mode,channel_method,channels_count,selected_channels,feature_vector_size,processing_time_ms,records_count,train_participants,test_participants,selection_train_participants,selection_val_participants,final_test_participants,selection_metric,final_metric,selection_uses_test,quick_mode,medium_mode
False,200.0,50.0,130368,32592,12,200.0,basic,0.10467608923354026,0.13869999911548803,,,ok,0.7412248404516446,0.7448272256807771,medium,greedy,3,"[6, 8, 5]",12,0.10467608923354026,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,33,200.0,extended_td,0.10563986867980632,0.1325999983237125,,,ok,0.779025527736868,0.7817979417901256,medium,greedy,3,"[6, 8, 5]",33,0.10563986867980632,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,24,200.0,basic,0.11735069342050491,0.15414500066981388,,,ok,0.8134511536573392,0.8147628978467312,medium,greedy,6,"[6, 8, 5, 16, 9, 23]",24,0.11735069342050491,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,66,200.0,extended_td,0.1179146539004465,0.144744999852264,,,ok,0.8352356406480118,0.8366494494869265,medium,greedy,6,"[6, 8, 5, 16, 9, 23]",66,0.1179146539004465,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,32,200.0,basic,0.124129771112471,0.1520000005257316,,,ok,0.8092783505154639,0.8101077368062894,medium,greedy,8,"[6, 8, 5, 16, 9, 23, 22, 4]",32,0.124129771112471,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,88,200.0,extended_td,0.12718718396907253,0.16490000052726828,,,ok,0.8666237113402062,0.8666285438396536,medium,greedy,8,"[6, 8, 5, 16, 9, 23, 22, 4]",88,0.12718718396907253,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,48,200.0,basic,0.1442355977006803,0.16699999832781032,,,ok,0.8186057928325969,0.8194234340488175,medium,greedy,12,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0]",48,0.1442355977006803,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,132,200.0,extended_td,0.14762781971397848,0.18199999976786785,,,ok,0.8786512027491409,0.8788470847368318,medium,greedy,12,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0]",132,0.14762781971397848,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,96,200.0,basic,0.20134490672218047,0.23090000104275532,,,ok,0.9277736867943054,0.9284057813212564,medium,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",96,0.20134490672218047,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,264,200.0,extended_td,0.21465348858286548,0.2705999993850128,,,ok,0.9574435444280806,0.9575278848502513,medium,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",264,0.21465348858286548,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
