record_path,session,participant,gesture,class,y,trial
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture11_trial1,1,1,11,WF,0,1
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture11_trial2,1,1,11,WF,0,2
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture11_trial3,1,1,11,WF,0,3
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture11_trial4,1,1,11,WF,0,4
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture11_trial5,1,1,11,WF,0,5
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture11_trial6,1,1,11,WF,0,6
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture11_trial7,1,1,11,WF,0,7
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture12_trial1,1,1,12,WE,1,1
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture12_trial2,1,1,12,WE,1,2
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture12_trial3,1,1,12,WE,1,3
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture12_trial4,1,1,12,WE,1,4
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture12_trial5,1,1,12,WE,1,5
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture12_trial6,1,1,12,WE,1,6
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture12_trial7,1,1,12,WE,1,7
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture15_trial1,1,1,15,HO,2,1
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture15_trial2,1,1,15,HO,2,2
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture15_trial3,1,1,15,HO,2,3
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture15_trial4,1,1,15,HO,2,4
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture15_trial5,1,1,15,HO,2,5
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture15_trial6,1,1,15,HO,2,6
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture15_trial7,1,1,15,HO,2,7
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture16_trial1,1,1,16,HC,3,1
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture16_trial2,1,1,16,HC,3,2
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture16_trial3,1,1,16,HC,3,3
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture16_trial4,1,1,16,HC,3,4
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture16_trial5,1,1,16,HC,3,5
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture16_trial6,1,1,16,HC,3,6
..\data\raw\grabmyo\1.1.0\Session1\session1_participant1\session1_participant1_gesture16_trial7,1,1,16,HC,3,7
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture11_trial1,2,1,11,WF,0,1
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture11_trial2,2,1,11,WF,0,2
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture11_trial3,2,1,11,WF,0,3
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture11_trial4,2,1,11,WF,0,4
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture11_trial5,2,1,11,WF,0,5
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture11_trial6,2,1,11,WF,0,6
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture11_trial7,2,1,11,WF,0,7
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture12_trial1,2,1,12,WE,1,1
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture12_trial2,2,1,12,WE,1,2
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture12_trial3,2,1,12,WE,1,3
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture12_trial4,2,1,12,WE,1,4
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture12_trial5,2,1,12,WE,1,5
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture12_trial6,2,1,12,WE,1,6
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture12_trial7,2,1,12,WE,1,7
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture15_trial1,2,1,15,HO,2,1
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture15_trial2,2,1,15,HO,2,2
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture15_trial3,2,1,15,HO,2,3
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture15_trial4,2,1,15,HO,2,4
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture15_trial5,2,1,15,HO,2,5
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture15_trial6,2,1,15,HO,2,6
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture15_trial7,2,1,15,HO,2,7
..\data\raw\grabmyo\1.1.0\Session2\session2_participant1\session2_participant1_gesture16_trial1,2,1,16,HC,3,1
