state,win_ms,hop_ms,filtered,accuracy,macro_f1,feat_time_mean_ms,reward,n_train_windows,n_test_windows
clean,150.0,37.5,0,0.9412545787545787,0.9412662923614304,0.026329899283621505,0.8512662923614305,440440,21840
clean,150.0,37.5,1,0.9410714285714286,0.9410783011510976,0.026814903838838444,0.8510783011510976,440440,21840
clean,200.0,50.0,0,0.9464899361806578,0.9464799835311263,0.0352680596560306,0.8264799835311263,328636,16296
clean,200.0,50.0,1,0.9462444771723122,0.9462267353275793,0.034449883405140665,0.8262267353275793,328636,16296
clean,250.0,62.5,0,0.9491341991341992,0.9491061502168207,0.044577442822493665,0.7991061502168206,260876,12936
clean,250.0,62.5,1,0.9519171304885591,0.9518725495027451,0.04162142859289412,0.8018725495027451,260876,12936
noisy,150.0,37.5,0,0.678434065934066,0.6841475754394298,0.020590467031383303,0.5941475754394299,440440,21840
noisy,150.0,37.5,1,0.891941391941392,0.893073345725071,0.02634037544992633,0.803073345725071,440440,21840
noisy,200.0,50.0,0,0.686426116838488,0.6913693395642245,0.02839896294023045,0.5713693395642245,328636,16296
noisy,200.0,50.0,1,0.9069710358370152,0.9078037368791245,0.034877681644874814,0.7878037368791245,328636,16296
noisy,250.0,62.5,0,0.6928726035868893,0.6975737788787599,0.0353983688835006,0.5475737788787599,260876,12936
noisy,250.0,62.5,1,0.9131880024737168,0.9138982524098691,0.04215592921582778,0.7638982524098691,260876,12936
